year;month;day;hour;Tint;hum_value;central_heat_flow_value;central_heat_return_value;gas_value;radiator_input_value;radiator_output_value;Day sin;Day cos;Year sin;Year cos;Text;dewPt;rh;pressure;wind_x;wind_y
2017;8;29;18;22.3;519.0;71.9;68.9;1342.0;22.6;18.8;0.9212809691686714;0.388897641864326;0.5655983164851148;0.8246808742714989;12.5;46.0;74.5;29.695;-7.500000000000007;-12.990381056766577
2017;8;29;19;22.5;496.0;72.0;69.1;1006.0;22.6;18.8;0.9825734185110213;0.18587489673316687;0.7475410352763682;0.6642156280741486;11.6666666666666;46.0;79.5;29.71;-7.070663706551934;-8.426488874308756
2017;8;29;20;22.5;487.0;72.0;68.9;1453.0;23.8;18.9;0.9996746289581789;-0.025507571764620703;0.9365117380389067;0.35063622818434803;10.5555555555555;46.0;84.5;29.71;-5.448976145334941;-7.78194442074542
2017;8;29;21;22.5;484.0;56.3;56.2;224.0;21.3;18.8;0.5977024685432255;0.801718004723191;0.9933882771677032;0.11480300860945467;8.88888888888889;45.0;87.0;29.71;-4.499513267805776;-5.362311101832845
2017;8;29;22;22.1;485.0;32.9;33.6;;19.5;18.7;0.753325907301261;0.6576473807358558;0.968131552577233;-0.2504422027222974;8.33333333333333;45.0;90.0;29.71;-5.745333323392335;-4.820907072649044
2017;8;29;23;21.6;491.0;24.8;24.8;;19.0;18.4;0.8750685138402292;0.4839990662030792;0.879335821023319;-0.47620217750997895;9.44444444444444;45.5;87.0;29.71;-1.4235047480638634;-5.312592044589875
2017;8;30;0;21.0;503.0;20.7;20.5;;18.5;18.1;0.10968185443381004;0.9939667453229813;0.6490020564584774;-0.7607866525594855;9.44444444444444;46.0;90.0;29.71;-3.1696369630552494;-6.797308402774873
2017;8;30;1;20.3;511.0;18.5;18.3;;17.9;17.7;0.3168205866319277;0.9484854853323804;0.44670431202299193;-0.8946816515499049;8.88888888888889;45.5;90.0;29.68;-5.448976145334941;-7.78194442074542
2017;8;30;2;19.9;518.0;17.0;16.9;;17.5;17.4;0.509710313140493;0.8603460912203998;0.09474230008546802;-0.9955018315274539;9.44444444444444;46.0;90.0;29.68;-8.034845121081743;-9.575555538987224
2017;8;30;3;19.7;525.0;16.3;16.2;;17.5;17.2;0.6796758186280292;0.7335126321831946;-0.14776597714364018;-0.9890223536395855;8.33333333333333;45.0;90.0;29.68;-3.500000000000003;-6.0621778264910695
