features_combination;window_range;home_id;model_name;mse;rmse
hum_value|gas_value|Text|wind_x;2;home62;f0295bfc36e6de0af115b02b63185c68;0.03654322217286905;0.19116281587397968
gas_value|Text|pressure|wind_x;2;home62;3f05bdf9e3a28024d019238f0f5feee5;0.03659164630313531;0.1912894307146511
hum_value|gas_value|Text|pressure|wind_x;2;home62;785267425325df22f06b4a56bc2893e8;0.03635760266520696;0.19067669670205367
gas_value|Text;2;home63;b07c4bfb145dcbfb9c11a041a82bb5a3;0.18715088390936993;0.4326093895298274
hum_value|gas_value|Text;2;home63;ba2975668b0b6d62c5b849c8eea7abe8;0.18674136181814224;0.43213581408874485
gas_value|Text|pressure;2;home63;bb01b6c54d23aed8548f51ae509426d7;0.19102547681848284;0.4370646140085958
gas_value|Text|wind_x;2;home63;97f18c85afa71bc9f14398f8f40f122d;0.1911903668473454;0.4372532067890931
hum_value|gas_value|Text|pressure;2;home63;8813ae1414c66466db571cd19ceb0098;0.18924364411153966;0.4350214294854216
hum_value|gas_value|Text|wind_x;2;home63;26772bec776205bd8685869e0e7458fa;0.19086065258758614;0.4368760151205215
gas_value|Text|pressure|wind_x;2;home63;6551ccc6f886c7f4941645181d91d494;0.19143287941392464;0.43753043255746754
hum_value|gas_value|Text|pressure|wind_x;2;home63;341677d921143918a5d70201ad06a6fb;0.191198038213313;0.4372619789248923
gas_value|Text;2;home65;a93a6429b68217297ae984f677b1dbbc;0.08450709978657224;0.2907010488226216
hum_value|gas_value|Text;2;home65;895615095e6b475bbbdad7956cdc2d72;0.08454065562937392;0.29075875847405513
gas_value|Text|pressure;2;home65;c60054e1f66ef613fb55a7e71ee71480;0.08409337719668726;0.2899885811487881
gas_value|Text|wind_x;2;home65;5cc79cfcd9e12eb0f27f9e40de1e14fa;0.10086965418891528;0.31759983342079273
hum_value|gas_value|Text|pressure;2;home65;3bd483c492dc0bc7d463894cdb694067;0.08413455180156933;0.2900595659542525
hum_value|gas_value|Text|wind_x;2;home65;92313935a204f75516798551446291fe;0.1001586887204391;0.3164785754524927
gas_value|Text|pressure|wind_x;2;home65;bc32539096aaf04120c6d4ee5745fd50;0.10089831612601921;0.317644952936481
hum_value|gas_value|Text|pressure|wind_x;2;home65;0b48ed28d10f93bccf960c9d702f3bc5;0.10069381685835288;0.3173228905363634
gas_value|Text;2;home73;4d01729afd59f6d05edcd9855ad2dd81;0.09763333989485601;0.3124633416816379
hum_value|gas_value|Text;2;home73;7ef37254225519838037f876db7164aa;0.11773939477553332;0.34313174550824255
gas_value|Text|pressure;2;home73;c820c53a8846f721b24b89d15d50b4fa;0.09567652081957007;0.3093162149315326
gas_value|Text|wind_x;2;home73;e2808330b2b1d642cc9a4a2a12ffcb89;0.09970770797723802;0.31576527354545814
hum_value|gas_value|Text|pressure;2;home73;51af47fed9d44fe141fe8e3ee439ad02;0.11627246713544505;0.3409874882388576
hum_value|gas_value|Text|wind_x;2;home73;0c9e1d742e329e661d63703bb2b9f362;0.10233479745149694;0.3198981047951002
gas_value|Text|pressure|wind_x;2;home73;f40e29eb9664fc1f7f251e49ea490642;0.10136376231162698;0.31837676157600914
hum_value|gas_value|Text|pressure|wind_x;2;home73;18c7ac8d228038c0400eeeb7660ef7e2;0.10193239166296308;0.31926852595106064
gas_value|Text;2;home90;bf6ea2fe861a923c3200c03424a5df46;0.469643806216548;0.6853056297861181
hum_value|gas_value|Text;2;home90;6a3d6f1c28f6460e13f056e4e2fbe876;0.4661990034328309;0.6827876708266127
gas_value|Text|pressure;2;home90;ac30794f6d82c39a50e64b3cca909d54;0.47103195254865443;0.6863176761155539
gas_value|Text|wind_x;2;home90;ca0d61e10f39839e24d85731889c3261;0.3575669224114462;0.5979689978681556
hum_value|gas_value|Text|pressure;2;home90;74dd61790238b31a2618025aea5be8c8;0.47779478568776174;0.6912270145818679
hum_value|gas_value|Text|wind_x;2;home90;1d7dac203b6412ae35a94e9bf99c08da;0.3563198145766959;0.5969253006672577
gas_value|Text|pressure|wind_x;2;home90;00bc524a1e2661420fc1fb6297287c16;0.35601121480576303;0.59666675356162
hum_value|gas_value|Text|pressure|wind_x;2;home90;4aadb493e24d18e3e8ffc2e2e1b93d82;0.35494503423145174;0.5957726363567327
