config;model_path;epoch;valid_mse;test_mse
home140_2_gas_value_Text_wind_x_3_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\254f45d37069d48de084f4f0ae993e33.h5;41;0.04983839765191078;0.05621440537252004
home140_2_gas_value_Text_wind_x_4_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\d04e068c2cab417e1b515a6cce20093f.h5;42;0.052636437118053436;0.042818024053377375
home140_2_gas_value_Text_wind_x_4_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\049916a3ede264fdd7fb867a59a8544b.h5;30;0.055434416979551315;0.07618067140046167
home140_2_hum_value_gas_value_Text_pressure_3_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\a1ca1015fa6c5f7d2f1cabb25dd75f5a.h5;22;0.09698448330163956;0.08669538771426066
home140_2_hum_value_gas_value_Text_pressure_3_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\37126cd7ee5a7bb291743b6968ba92ba.h5;32;0.04360624775290489;0.053764744196015055
home140_2_hum_value_gas_value_Text_pressure_4_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\4f4a70188f1b127549a2a200b5b5e426.h5;65;0.04468482360243797;0.042167653626748375
home140_2_hum_value_gas_value_Text_pressure_4_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\f7c5b8e686034a740bbc948a2cd808bf.h5;38;0.044123195111751556;0.054404268320107016
home140_2_hum_value_gas_value_Text_wind_x_3_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\75be29cd750a2431a59ca8d380c20246.h5;58;0.046398092061281204;0.050406840935811055
home140_2_hum_value_gas_value_Text_wind_x_3_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\03f7cd4b76c5d7c7f9f4bebace48bd29.h5;33;0.045519839972257614;0.039687792696417916
home140_2_hum_value_gas_value_Text_wind_x_4_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\1272caa2f8d8e942f87ffd2184c6c491.h5;61;0.044928114861249924;0.054368995189811226
home140_2_hum_value_gas_value_Text_wind_x_4_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\18a99e381fb17ec04b858f5caa8552a8.h5;38;0.04800181835889816;0.04933208093234774
home140_2_gas_value_Text_pressure_wind_x_3_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\92c246b7030e6746aef6c20b83488347.h5;19;0.12910711765289307;0.09636371561539371
home140_2_gas_value_Text_pressure_wind_x_3_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\8bf40719e8daa1b4a0e57f84103ef28e.h5;41;0.046944599598646164;0.03775669770756183
home140_2_gas_value_Text_pressure_wind_x_4_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\f1ac441d6fb4f94f51d1a04613cfd3dc.h5;80;0.048132363706827164;0.062185790186804535
home140_2_gas_value_Text_pressure_wind_x_4_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\e6a6e388a26eccca63374b277cf17b97.h5;63;0.04612649232149124;0.06436859887917015
home140_2_hum_value_gas_value_Text_pressure_wind_x_3_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\555ef6af8dc040695896c7a93162dbf4.h5;43;0.06261521577835083;0.04862331081573358
home140_2_hum_value_gas_value_Text_pressure_wind_x_3_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\b2bda6efcffc80cf0cc45e9b71eece1e.h5;32;0.04645580053329468;0.05557396557627775
home140_2_hum_value_gas_value_Text_pressure_wind_x_4_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\11491528e292359b542bde3fc720c528.h5;41;0.059721559286117554;0.058087985431410805
home140_2_hum_value_gas_value_Text_pressure_wind_x_4_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\14199b6e3dded23c129f244ea7682539.h5;36;0.04443206265568733;0.03739070290689155
home145_2_gas_value_Text_3_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\3be649e2eb48dd1d8f62ae633df12085.h5;63;0.16266077756881714;0.2658152242900695
home145_2_gas_value_Text_3_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\efbf36f844965d471854688a3b828cc9.h5;66;0.14311987161636353;0.15324435007477336
